NodeID,  End Time, ProcID, Expiration Time, Execution Time, Start Time
2,2,0,4,2,0
3,8,0,4,2,6
4,2,0,4,2,0
5,12,0,4,2,10
6,15,0,4,2,13
0,2,1,4,2,0
1,6,1,4,2,4
7,6,1,4,2,4
