NodeID,  End Time, ProcID, Expiration Time, Execution Time, Start Time
0,2.000000,1,4.000000,2.000000,0.000000
1,6.000000,1,4.000000,2.000000,4.000000
2,2.000000,0,4.000000,2.000000,0.000000
3,8.000000,0,4.000000,2.000000,6.000000
4,2.000000,0,4.000000,2.000000,0.000000
5,12.000000,0,4.000000,2.000000,10.000000
6,15.000000,0,4.000000,2.000000,13.000000
7,6.000000,1,4.000000,2.000000,4.000000
